"make","model","hardware_strings","status","released"
"Apple","iPhone 11","iPhone12,1","In production and supported","2019"
"Apple","iPhone SE(2nd generation)","iPhone12,8","In production and supported","2020"
"Apple","iPhone 12 Mini","iPhone13,1","In production and supported","2020"
"Apple","iPhone 12","iPhone13,2","In production and supported","2020"
"Apple","iPhone 13 Mini","iPhone14,4","In production and supported","2021"
"Apple","iPhone 13","iPhone14,5","In production and supported","2021"
"Apple","iPhone 13 Pro","iPhone14,2","In production and supported","2021"
"Apple","iPhone 13 Pro Max","iPhone14,3","In production and supported","2021"
"Apple","iPhone 6S","iPhone8,1","Discontinued, but supported","2015"
"Apple","iPhone 6S Plus","iPhone8,2","Discontinued, but supported","2015"
"Apple","iPhone SE(1st generation)","iPhone8,4","Discontinued, but supported","2016"
"Apple","iPhone 7","iPhone9,1 (CDMA); iPhone9,3 (global)","Discontinued, but supported","2016"
"Apple","iPhone 7 Plus","iPhone9,2 (CDMA); iPhone9,4 (global)","Discontinued, but supported","2016"
"Apple","iPhone 8","iPhone10,1; iPhone10,4","Discontinued, but supported","2017"
"Apple","iPhone 8 Plus","iPhone10,2; iPhone10,5","Discontinued, but supported","2017"
"Apple","iPhone X","iPhone10,3; iPhone10,6","Discontinued, but supported","2017"
"Apple","iPhone XS","iPhone11,2","Discontinued, but supported","2018"
"Apple","iPhone XS Max","iPhone11,4; iPhone11,6","Discontinued, but supported","2018"
"Apple","iPhone XR","iPhone11,8","Discontinued, but supported","2018"
"Apple","iPhone 11 Pro","iPhone12,3","Discontinued, but supported","2019"
"Apple","iPhone 11 Pro Max","iPhone12,5","Discontinued, but supported","2019"
"Apple","iPhone 12 Pro","iPhone13,3","Discontinued, but supported","2020"
"Apple","iPhone 12 Pro Max","iPhone13,4","Discontinued, but supported","2020"
"LG Electronics","LG G Flex 2","NA","NA","2015"
"LG Electronics","LG G4","NA","NA","2015"
"LG Electronics","LG V10","NA","NA","2015"
"LG Electronics","LG K10 (2016)","NA","NA","2016"
"LG Electronics","LG G5","NA","NA","2016"
"LG Electronics","LG V20","NA","NA","2016"
"LG Electronics","LG K10 (2017)","NA","NA","2017"
"LG Electronics","LG G6","NA","NA","2017"
"LG Electronics","LG V30","NA","NA","2017"
"LG Electronics","LG G7 ThinQ","NA","NA","2018"
"LG Electronics","LG V35 ThinQ","NA","NA","2018"
"LG Electronics","LG K10 (2018)","NA","NA","2018"
"LG Electronics","LG V40 ThinQ","NA","NA","2018"
"LG Electronics","LG G8 ThinQ","NA","NA","2019"
"LG Electronics","LG V50 ThinQ","NA","NA","2019"
"LG Electronics","LG Stylo 5","NA","NA","2019"
"LG Electronics","LG W10/W30","NA","NA","2019"
"LG Electronics","LG W30 Pro","NA","NA","2019"
"LG Electronics","LG W10 Alpha","NA","NA","2020"
"LG Electronics","LG Q51","NA","NA","2020"
"LG Electronics","LG V60 ThinQ","NA","NA","2020"
"LG Electronics","LG Velvet","NA","NA","2020"
"LG Electronics","LG Stylo 6","NA","NA","2020"
"LG Electronics","LG Q61","NA","NA","2020"
"LG Electronics","LG K31","NA","NA","2020"
"LG Electronics","LG Q92 5G","NA","NA","2020"
"LG Electronics","LG K22","NA","NA","2020"
"LG Electronics","LG K42/K71","NA","NA","2020"
"LG Electronics","LG Q31","NA","NA","2020"
"LG Electronics","LG Wing","NA","NA","2020"
"LG Electronics","LG Q52","NA","NA","2020"
"LG Electronics","LG K52/K62","NA","NA","2020"
"LG Electronics","LG K92 5G","NA","NA","2020"
"LG Electronics","LG W31/+","NA","NA","2020"
"LG Electronics","LG W41/+/Pro","NA","NA","2021"
"Motorola Mobility","Moto E (2nd generation)","NA","NA","2015"
"Motorola Mobility","Moto G (3rd generation)","NA","NA","2015"
"Motorola Mobility","Moto X Play","NA","NA","2015"
"Motorola Mobility","Moto X Style","NA","NA","2015"
"Motorola Mobility","Moto G4","NA","NA","2016"
"Motorola Mobility","Moto E3","NA","NA","2016"
"Motorola Mobility","Moto Z","NA","NA","2016"
"Motorola Mobility","Moto Z Play","NA","NA","2016"
"Motorola Mobility","Moto G5","NA","NA","2017"
"Motorola Mobility","Moto C","NA","NA","2017"
"Motorola Mobility","Moto E4","NA","NA","2017"
"Motorola Mobility","Moto Z2 Play","NA","NA","2017"
"Motorola Mobility","Moto Z2 Force","NA","NA","2017"
"Motorola Mobility","Moto X4","NA","NA","2017"
"Motorola Mobility","Moto E5","NA","NA","2018"
"Motorola Mobility","Moto G6","NA","NA","2018"
"Motorola Mobility","Moto Z3 Play","NA","NA","2018"
"Motorola Mobility","Moto Z3","NA","NA","2018"
"Motorola Mobility","Motorola One/One Power","NA","NA","2018"
"Motorola Mobility","Moto G7","NA","NA","2019"
"Motorola Mobility","Motorola One Vision","NA","NA","2019"
"Motorola Mobility","Moto Z4","NA","NA","2019"
"Motorola Mobility","Motorola One Zoom","NA","NA","2019"
"Motorola Mobility","Moto G8 Plus","NA","NA","2019"
"Motorola Mobility","Motorola One Macro","NA","NA","2019"
"Motorola Mobility","Motorola One Action","NA","NA","2019"
"Motorola Mobility","Motorola Razr (4G)","NA","NA","2019"
"Motorola Mobility","Motorola One Hyper","NA","NA","2020"
"Motorola Mobility","Moto G8 Power","NA","NA","2020"
"Motorola Mobility","Moto G Power/Stylus","NA","NA","2020"
"Motorola Mobility","Moto G8","NA","NA","2020"
"Motorola Mobility","Moto E6s (2020)","NA","NA","2020"
"Motorola Mobility","Moto G8 Power Lite","NA","NA","2020"
"Motorola Mobility","Motorola Edge/Edge+","NA","NA","2020"
"Motorola Mobility","Moto G Pro","NA","NA","2020"
"Motorola Mobility","Moto E (2020)","NA","NA","2020"
"Motorola Mobility","Moto G Fast","NA","NA","2020"
"Motorola Mobility","Motorola One Fusion+","NA","NA","2020"
"Motorola Mobility","Motorola One Fusion","NA","NA","2020"
"Motorola Mobility","Moto G 5G Plus","NA","NA","2020"
"Motorola Mobility","Moto G9 Play","NA","NA","2020"
"Motorola Mobility","Moto G9 Plus","NA","NA","2020"
"Motorola Mobility","Moto E7 Plus","NA","NA","2020"
"Motorola Mobility","Motorola Razr (5G)","NA","NA","2020"
"Motorola Mobility","Moto G9 Power","NA","NA","2020"
"Motorola Mobility","Moto G 5G","NA","NA","2020"
"Motorola Mobility","Moto E7","NA","NA","2020"
"Motorola Mobility","Moto G Play (2021)","NA","NA","2021"
"Motorola Mobility","Moto G Power (2021)","NA","NA","2021"
"Motorola Mobility","Moto G Stylus (2021)","NA","NA","2021"
"Motorola Mobility","Moto E6i","NA","NA","2021"
"Motorola Mobility","Moto E7 Power","NA","NA","2021"
"Motorola Mobility","Moto G10","NA","NA","2021"
"Motorola Mobility","Moto G30","NA","NA","2021"
"Motorola Mobility","Moto G10 Power","NA","NA","2021"
"Motorola Mobility","Moto G50","NA","NA","2021"
"Motorola Mobility","Moto G100","NA","NA","2021"
"Motorola Mobility","Moto G60","NA","NA","2021"
"Motorola Mobility","Moto G40 Fusion","NA","NA","2021"
"Motorola Mobility","Moto G20","NA","NA","2021"
"Motorola Mobility","Moto G Stylus 5G","NA","NA","2021"
"Motorola Mobility","Motorola Defy (2021)","NA","NA","2021"
"Motorola Mobility","Moto G50 5G","NA","NA","2021"
"Motorola Mobility","Moto G60S","NA","NA","2021"
"Motorola Mobility","Motorola Edge 20","NA","NA","2021"
"Motorola Mobility","Motorola Edge (2021)","NA","NA","2021"
"LG Electronics/Google","Nexus 5X","NA","NA","2015"
"Huawei/Google","Nexus 6P","NA","NA","2015"
"Google","Pixel","NA","NA","2016"
"Google","Pixel XL","NA","NA","2016"
"Google","Pixel 2","NA","NA","2017"
"Google","Pixel 2 XL","NA","NA","2017"
"Google","Pixel 3","NA","NA","2018"
"Google","Pixel 3 XL","NA","NA","2018"
"Google","Pixel 3a","NA","NA","2019"
"Google","Pixel 3a XL","NA","NA","2019"
"Google","Pixel 4","NA","NA","2019"
"Google","Pixel 4 XL","NA","NA","2019"
