datetime,direction,location,rate,pbm_rate
02/01/2018 14:30,NB,2222 to Parmer,0.25,0.33
02/01/2018 14:30,NB,CVZ to 183,0.25,0.33
02/01/2018 14:30,NB,CVZ to Parmer,0.5,0.66
02/01/2018 14:30,SB,2222 to 5th/CVZ,0.25,0.33
02/01/2018 14:30,SB,Parmer to 2222,0.25,0.33
02/01/2018 14:30,SB,Parmer to 5th/CVZ,0.5,0.66
01/02/2018 17:30,NB,2222 to Parmer,3.21,4.26
01/02/2018 17:30,NB,CVZ to 183,4.36,5.79
01/02/2018 17:30,NB,CVZ to Parmer,7.57,10.06
01/02/2018 17:30,SB,2222 to 5th/CVZ,1.27,1.68
01/02/2018 17:30,SB,Parmer to 2222,0.25,0.33
01/02/2018 17:30,SB,Parmer to 5th/CVZ,3.22,4.28
01/21/2018 18:30,NB,2222 to Parmer,0.25,0.33
01/21/2018 18:30,NB,CVZ to 183,0.25,0.33
01/21/2018 18:30,NB,CVZ to Parmer,0.5,0.66
01/21/2018 18:30,SB,2222 to 5th/CVZ,0.25,0.33
01/21/2018 18:30,SB,Parmer to 2222,0.25,0.33
01/21/2018 18:30,SB,Parmer to 5th/CVZ,0.5,0.66
01/20/2018 18:30,NB,2222 to Parmer,0.25,0.33
01/20/2018 18:30,NB,CVZ to 183,0.25,0.33
01/20/2018 18:30,NB,CVZ to Parmer,0.5,0.66
01/20/2018 18:30,SB,2222 to 5th/CVZ,0.25,0.33
01/20/2018 18:30,SB,Parmer to 2222,0.25,0.33
01/20/2018 18:30,SB,Parmer to 5th/CVZ,0.5,0.66
01/09/2018 04:00,NB,2222 to Parmer,0.25,0.33
01/09/2018 04:00,NB,CVZ to 183,0.25,0.33
01/09/2018 04:00,NB,CVZ to Parmer,0.5,0.66
01/09/2018 04:00,SB,2222 to 5th/CVZ,0.25,0.33
01/09/2018 04:00,SB,Parmer to 2222,0.25,0.33
01/09/2018 04:00,SB,Parmer to 5th/CVZ,0.5,0.66
01/11/2018 14:30,NB,2222 to Parmer,0.25,0.33
01/11/2018 14:30,NB,CVZ to 183,0.25,0.33
01/11/2018 14:30,NB,CVZ to Parmer,0.5,0.66
01/11/2018 14:30,SB,2222 to 5th/CVZ,0.25,0.33
01/11/2018 14:30,SB,Parmer to 2222,0.25,0.33
01/11/2018 14:30,SB,Parmer to 5th/CVZ,0.5,0.66
01/26/2018 19:30,NB,2222 to Parmer,0.25,0.33
01/26/2018 19:30,NB,CVZ to 183,0.25,0.33
01/26/2018 19:30,NB,CVZ to Parmer,0.5,0.66
01/26/2018 19:30,SB,2222 to 5th/CVZ,0.25,0.33
01/26/2018 19:30,SB,Parmer to 2222,0.25,0.33
01/26/2018 19:30,SB,Parmer to 5th/CVZ,0.5,0.66
01/16/2018 09:00,NB,2222 to Parmer,0.25,0.33
01/16/2018 09:00,NB,CVZ to 183,0.25,0.33
01/16/2018 09:00,NB,CVZ to Parmer,0.5,0.66
01/16/2018 09:00,SB,2222 to 5th/CVZ,0.25,0.33
01/16/2018 09:00,SB,Parmer to 2222,0.25,0.33
01/16/2018 09:00,SB,Parmer to 5th/CVZ,0.5,0.66
02/08/2018 05:30,NB,2222 to Parmer,0.25,0.33
02/08/2018 05:30,NB,CVZ to 183,0.25,0.33
02/08/2018 05:30,NB,CVZ to Parmer,0.5,0.66
02/08/2018 05:30,SB,2222 to 5th/CVZ,0.25,0.33
02/08/2018 05:30,SB,Parmer to 2222,0.25,0.33
02/08/2018 05:30,SB,Parmer to 5th/CVZ,0.5,0.66
01/15/2018 20:30,NB,2222 to Parmer,0.25,0.33
01/15/2018 20:30,NB,CVZ to 183,0.25,0.33
01/15/2018 20:30,NB,CVZ to Parmer,0.5,0.66
01/15/2018 20:30,SB,2222 to 5th/CVZ,0.25,0.33
01/15/2018 20:30,SB,Parmer to 2222,0.25,0.33
01/15/2018 20:30,SB,Parmer to 5th/CVZ,0.5,0.66
01/12/2018 13:00,NB,2222 to Parmer,0.25,0.33
01/12/2018 13:00,NB,CVZ to 183,0.25,0.33
01/12/2018 13:00,NB,CVZ to Parmer,0.5,0.66
01/12/2018 13:00,SB,2222 to 5th/CVZ,0.0,0.0
01/12/2018 13:00,SB,Parmer to 2222,0.0,0.0
01/12/2018 13:00,SB,Parmer to 5th/CVZ,0.0,0.0
01/04/2018 19:30,NB,2222 to Parmer,0.25,0.33
01/04/2018 19:30,NB,CVZ to 183,0.25,0.33
01/04/2018 19:30,NB,CVZ to Parmer,0.5,0.66
01/04/2018 19:30,SB,2222 to 5th/CVZ,0.25,0.33
01/04/2018 19:30,SB,Parmer to 2222,0.25,0.33
01/04/2018 19:30,SB,Parmer to 5th/CVZ,0.5,0.66
01/12/2018 10:30,NB,2222 to Parmer,0.25,0.33
01/12/2018 10:30,NB,CVZ to 183,0.25,0.33
01/12/2018 10:30,NB,CVZ to Parmer,0.5,0.66
01/12/2018 10:30,SB,2222 to 5th/CVZ,0.25,0.33
01/12/2018 10:30,SB,Parmer to 2222,0.25,0.33
01/12/2018 10:30,SB,Parmer to 5th/CVZ,0.5,0.66
01/28/2018 14:30,NB,2222 to Parmer,0.25,0.33
01/28/2018 14:30,NB,CVZ to 183,0.25,0.33
01/28/2018 14:30,NB,CVZ to Parmer,0.5,0.66
01/28/2018 14:30,SB,2222 to 5th/CVZ,0.25,0.33
01/28/2018 14:30,SB,Parmer to 2222,0.25,0.33
01/28/2018 14:30,SB,Parmer to 5th/CVZ,0.5,0.66
02/05/2018 14:30,NB,2222 to Parmer,0.25,0.33
02/05/2018 14:30,NB,CVZ to 183,0.25,0.33
02/05/2018 14:30,NB,CVZ to Parmer,0.5,0.66
02/05/2018 14:30,SB,2222 to 5th/CVZ,0.25,0.33
02/05/2018 14:30,SB,Parmer to 2222,0.25,0.33
02/05/2018 14:30,SB,Parmer to 5th/CVZ,0.5,0.66
01/16/2018 00:30,NB,2222 to Parmer,0.25,0.33
01/16/2018 00:30,NB,CVZ to 183,0.25,0.33
01/16/2018 00:30,NB,CVZ to Parmer,0.5,0.66
01/16/2018 00:30,SB,2222 to 5th/CVZ,0.25,0.33
01/16/2018 00:30,SB,Parmer to 2222,0.25,0.33
01/16/2018 00:30,SB,Parmer to 5th/CVZ,0.5,0.66
01/20/2018 20:00,NB,2222 to Parmer,0.25,0.33
01/20/2018 20:00,NB,CVZ to 183,0.25,0.33
01/20/2018 20:00,NB,CVZ to Parmer,0.5,0.66
01/20/2018 20:00,SB,2222 to 5th/CVZ,0.25,0.33
01/20/2018 20:00,SB,Parmer to 2222,0.25,0.33
01/20/2018 20:00,SB,Parmer to 5th/CVZ,0.5,0.66
01/16/2018 19:00,NB,2222 to Parmer,0.25,0.33
01/16/2018 19:00,NB,CVZ to 183,0.25,0.33
01/16/2018 19:00,NB,CVZ to Parmer,0.5,0.66
01/16/2018 19:00,SB,2222 to 5th/CVZ,0.25,0.33
01/16/2018 19:00,SB,Parmer to 2222,0.25,0.33
01/16/2018 19:00,SB,Parmer to 5th/CVZ,0.5,0.66
01/17/2018 18:30,NB,2222 to Parmer,2.1,2.79
01/17/2018 18:30,NB,CVZ to 183,0.25,0.33
01/17/2018 18:30,NB,CVZ to Parmer,2.35,3.12
01/17/2018 18:30,SB,2222 to 5th/CVZ,0.67,0.89
01/17/2018 18:30,SB,Parmer to 2222,0.25,0.33
01/17/2018 18:30,SB,Parmer to 5th/CVZ,0.92,1.22
01/25/2018 15:30,NB,2222 to Parmer,0.25,0.33
01/25/2018 15:30,NB,CVZ to 183,1.2,1.59
01/25/2018 15:30,NB,CVZ to Parmer,1.63,2.16
01/25/2018 15:30,NB,CVZ to Parmer,1.6,2.12
